name,category,default_unit,image_url
Aloo,Vegetable,grams,https://source.unsplash.com/200x200/?Potato
Pyaz,Vegetable,grams,https://source.unsplash.com/200x200/?Onion
Tamatar,Vegetable,grams,https://source.unsplash.com/200x200/?Tomato
Lahsun,Vegetable,grams,https://source.unsplash.com/200x200/?Garlic
Adrak,Vegetable,grams,https://source.unsplash.com/200x200/?Ginger
Hari Mirch,Vegetable,grams,https://source.unsplash.com/200x200/?Green%20Chilli
Dhania Patta,Vegetable,grams,https://source.unsplash.com/200x200/?Coriander%20Leaves
Patta Gobi,Vegetable,grams,https://source.unsplash.com/200x200/?Cabbage
Phool Gobi,Vegetable,grams,https://source.unsplash.com/200x200/?Cauliflower
Gajar,Vegetable,grams,https://source.unsplash.com/200x200/?Carrot
Shalgam,Vegetable,grams,https://source.unsplash.com/200x200/?Turnip
Bhindi,Vegetable,grams,https://source.unsplash.com/200x200/?Okra
Baingan,Vegetable,grams,https://source.unsplash.com/200x200/?Eggplant
Karela,Vegetable,grams,https://source.unsplash.com/200x200/?Bitter%20Gourd
Lauki,Vegetable,grams,https://source.unsplash.com/200x200/?Bottle%20Gourd
Tinda,Vegetable,grams,https://source.unsplash.com/200x200/?Apple%20Gourd
Kaddu,Vegetable,grams,https://source.unsplash.com/200x200/?Pumpkin
Arbi,Vegetable,grams,https://source.unsplash.com/200x200/?Taro
Shimla Mirch,Vegetable,grams,https://source.unsplash.com/200x200/?Capsicum
Matar,Vegetable,grams,https://source.unsplash.com/200x200/?Green%20Peas
Palak,Vegetable,grams,https://source.unsplash.com/200x200/?Spinach
Methi,Vegetable,grams,https://source.unsplash.com/200x200/?Fenugreek%20Leaves
Sarson Ka Saag,Vegetable,grams,https://source.unsplash.com/200x200/?Mustard%20Greens
Kachalu,Vegetable,grams,https://source.unsplash.com/200x200/?Colocasia
Sem,Vegetable,grams,https://source.unsplash.com/200x200/?Broad%20Beans
Turai,Vegetable,grams,https://source.unsplash.com/200x200/?Ridge%20Gourd
Chichinda,Vegetable,grams,https://source.unsplash.com/200x200/?Snake%20Gourd
Nimboo,Fruit,pcs,https://source.unsplash.com/200x200/?Lemon
Santra,Fruit,pcs,https://source.unsplash.com/200x200/?Orange
Aam,Fruit,pcs,https://source.unsplash.com/200x200/?Mango
Anar,Fruit,pcs,https://source.unsplash.com/200x200/?Pomegranate
Seb,Fruit,pcs,https://source.unsplash.com/200x200/?Apple
Nashpati,Fruit,pcs,https://source.unsplash.com/200x200/?Pear
Angoor,Fruit,grams,https://source.unsplash.com/200x200/?Grapes
Tarbooz,Fruit,grams,https://source.unsplash.com/200x200/?Watermelon
Kharbooj,Fruit,grams,https://source.unsplash.com/200x200/?Muskmelon
Kela,Fruit,pcs,https://source.unsplash.com/200x200/?Banana
Imli,Fruit,grams,https://source.unsplash.com/200x200/?Tamarind
Nariyal,Fruit,pcs,https://source.unsplash.com/200x200/?Coconut
Murghi,Meat,grams,https://source.unsplash.com/200x200/?Chicken
