name,category,default_unit,image_url
Potato,Vegetable,grams,https://source.unsplash.com/200x200/?Potato
Onion,Vegetable,grams,https://source.unsplash.com/200x200/?Onion
Tomato,Vegetable,grams,https://source.unsplash.com/200x200/?Tomato
Garlic,Vegetable,grams,https://source.unsplash.com/200x200/?Garlic
Ginger,Vegetable,grams,https://source.unsplash.com/200x200/?Ginger
Green Chilli,Vegetable,grams,https://source.unsplash.com/200x200/?Green%20Chilli
Coriander Leaves,Vegetable,grams,https://source.unsplash.com/200x200/?Coriander%20Leaves
Cabbage,Vegetable,grams,https://source.unsplash.com/200x200/?Cabbage
Cauliflower,Vegetable,grams,https://source.unsplash.com/200x200/?Cauliflower
Carrot,Vegetable,grams,https://source.unsplash.com/200x200/?Carrot
Turnip,Vegetable,grams,https://source.unsplash.com/200x200/?Turnip
Okra,Vegetable,grams,https://source.unsplash.com/200x200/?Okra
Eggplant,Vegetable,grams,https://source.unsplash.com/200x200/?Eggplant
Bitter Gourd,Vegetable,grams,https://source.unsplash.com/200x200/?Bitter%20Gourd
Bottle Gourd,Vegetable,grams,https://source.unsplash.com/200x200/?Bottle%20Gourd
Apple Gourd,Vegetable,grams,https://source.unsplash.com/200x200/?Apple%20Gourd
Pumpkin,Vegetable,grams,https://source.unsplash.com/200x200/?Pumpkin
Taro,Vegetable,grams,https://source.unsplash.com/200x200/?Taro
Capsicum,Vegetable,grams,https://source.unsplash.com/200x200/?Capsicum
Green Peas,Vegetable,grams,https://source.unsplash.com/200x200/?Green%20Peas
Spinach,Vegetable,grams,https://source.unsplash.com/200x200/?Spinach
Fenugreek Leaves,Vegetable,grams,https://source.unsplash.com/200x200/?Fenugreek%20Leaves
Mustard Greens,Vegetable,grams,https://source.unsplash.com/200x200/?Mustard%20Greens
Colocasia,Vegetable,grams,https://source.unsplash.com/200x200/?Colocasia
Broad Beans,Vegetable,grams,https://source.unsplash.com/200x200/?Broad%20Beans
Ridge Gourd,Vegetable,grams,https://source.unsplash.com/200x200/?Ridge%20Gourd
Snake Gourd,Vegetable,grams,https://source.unsplash.com/200x200/?Snake%20Gourd
Chicken,Meat,grams,https://source.unsplash.com/200x200/?Chicken
Egg,Diary,pcs,https://source.unsplash.com/200x200/?Egg
Mutton,Meat,grams,https://source.unsplash.com/200x200/?Mutton
Lamb,Meat,grams,https://source.unsplash.com/200x200/?Lamb
Fish,Meat,grams,https://source.unsplash.com/200x200/?Fish
Rohu Fish,Meat,grams,https://source.unsplash.com/200x200/?Rohu%20Fish
Hilsa Fish,Meat,grams,https://source.unsplash.com/200x200/?Hilsa%20Fish
Milk,Dairy,litre,https://source.unsplash.com/200x200/?Milk
Yogurt,Dairy,grams,https://source.unsplash.com/200x200/?Yogurt
Butter,Dairy,grams,https://source.unsplash.com/200x200/?Butter
Paneer,Dairy,grams,https://source.unsplash.com/200x200/?Paneer
Cheese,Dairy,grams,https://source.unsplash.com/200x200/?Cheese
Coconut Milk,Dairy,ml,https://source.unsplash.com/200x200/?Coconut%20Milk
Cream,Dairy,grams,https://source.unsplash.com/200x200/?Cream
Cottage Cheese,Dairy,grams,https://source.unsplash.com/200x200/?Cottage%20Cheese
Basmati Rice,Grain,grams,https://source.unsplash.com/200x200/?Basmati%20Rice
Golden Rice,Grain,grams,https://source.unsplash.com/200x200/?Golden%20Rice
Brown Rice,Grain,grams,https://source.unsplash.com/200x200/?Brown%20Rice
Toor Dal,Grain,grams,https://source.unsplash.com/200x200/?Toor%20Dal
Moong Dal,Grain,grams,https://source.unsplash.com/200x200/?Moong%20Dal
Masoor Dal,Grain,grams,https://source.unsplash.com/200x200/?Masoor%20Dal
Urad Dal,Grain,grams,https://source.unsplash.com/200x200/?Urad%20Dal
Chana Dal,Grain,grams,https://source.unsplash.com/200x200/?Chana%20Dal
Chickpeas,Grain,grams,https://source.unsplash.com/200x200/?Chickpeas
Black Chickpeas,Grain,grams,https://source.unsplash.com/200x200/?Black%20Chickpeas
Kidney Beans,Grain,grams,https://source.unsplash.com/200x200/?Kidney%20Beans
Black Eyed Peas,Grain,grams,https://source.unsplash.com/200x200/?Black%20Eyed%20Peas
Moth Beans,Grain,grams,https://source.unsplash.com/200x200/?Moth%20Beans
Red Lentil,Grain,grams,https://source.unsplash.com/200x200/?Red%20Lentil
Wheat Flour,Grain,grams,https://source.unsplash.com/200x200/?Wheat%20Flour
All Purpose Flour,Grain,grams,https://source.unsplash.com/200x200/?All%20Purpose%20Flour
Semolina,Grain,grams,https://source.unsplash.com/200x200/?Semolina
Rava,Grain,grams,https://source.unsplash.com/200x200/?Rava
Broken Wheat,Grain,grams,https://source.unsplash.com/200x200/?Broken%20Wheat
Gram Flour,Grain,grams,https://source.unsplash.com/200x200/?Gram%20Flour
Bengal Gram Flour,Grain,grams,https://source.unsplash.com/200x200/?Bengal%20Gram%20Flour
Maize Flour,Grain,grams,https://source.unsplash.com/200x200/?Maize%20Flour
Sorghum Flour,Grain,grams,https://source.unsplash.com/200x200/?Sorghum%20Flour
Pearl Millet Flour,Grain,grams,https://source.unsplash.com/200x200/?Pearl%20Millet%20Flour
Finger Millet Flour,Grain,grams,https://source.unsplash.com/200x200/?Finger%20Millet%20Flour
Flattened Rice,Grain,grams,https://source.unsplash.com/200x200/?Flattened%20Rice
Paddy,Grain,grams,https://source.unsplash.com/200x200/?Paddy
Barley,Grain,grams,https://source.unsplash.com/200x200/?Barley
Turmeric,Spice,grams,https://source.unsplash.com/200x200/?Turmeric
Red Chilli Powder,Spice,grams,https://source.unsplash.com/200x200/?Red%20Chilli%20Powder
Coriander Powder,Spice,grams,https://source.unsplash.com/200x200/?Coriander%20Powder
Cumin Seeds,Spice,grams,https://source.unsplash.com/200x200/?Cumin%20Seeds
Cumin Powder,Spice,grams,https://source.unsplash.com/200x200/?Cumin%20Powder
Mustard Seeds,Spice,grams,https://source.unsplash.com/200x200/?Mustard%20Seeds
Black Pepper,Spice,grams,https://source.unsplash.com/200x200/?Black%20Pepper
Black Pepper Powder,Spice,grams,https://source.unsplash.com/200x200/?Black%20Pepper%20Powder
Cloves,Spice,grams,https://source.unsplash.com/200x200/?Cloves
Cinnamon,Spice,grams,https://source.unsplash.com/200x200/?Cinnamon
Cardamom,Spice,grams,https://source.unsplash.com/200x200/?Cardamom
Green Cardamom,Spice,grams,https://source.unsplash.com/200x200/?Green%20Cardamom
Black Cardamom,Spice,grams,https://source.unsplash.com/200x200/?Black%20Cardamom
Nutmeg,Spice,grams,https://source.unsplash.com/200x200/?Nutmeg
Mace,Spice,grams,https://source.unsplash.com/200x200/?Mace
Bay Leaf,Spice,grams,https://source.unsplash.com/200x200/?Bay%20Leaf
Black Peppercorns,Spice,grams,https://source.unsplash.com/200x200/?Black%20Peppercorns
Fennel Seeds,Spice,grams,https://source.unsplash.com/200x200/?Fennel%20Seeds
Fenugreek Seeds,Spice,grams,https://source.unsplash.com/200x200/?Fenugreek%20Seeds
Carom Seeds,Spice,grams,https://source.unsplash.com/200x200/?Carom%20Seeds
Poppy Seeds,Spice,grams,https://source.unsplash.com/200x200/?Poppy%20Seeds
Nigella Seeds,Spice,grams,https://source.unsplash.com/200x200/?Nigella%20Seeds
Sesame Seeds,Spice,grams,https://source.unsplash.com/200x200/?Sesame%20Seeds
Saffron,Spice,grams,https://source.unsplash.com/200x200/?Saffron
Whole Cloves,Spice,grams,https://source.unsplash.com/200x200/?Whole%20Cloves
Star Anise,Spice,grams,https://source.unsplash.com/200x200/?Star%20Anise
Asafoetida,Spice,grams,https://source.unsplash.com/200x200/?Asafoetida
Kashmiri Red Chilli,Spice,grams,https://source.unsplash.com/200x200/?Kashmiri%20Red%20Chilli
Degi Mirch,Spice,grams,https://source.unsplash.com/200x200/?Degi%20Mirch
Curry Leaves,Spice,grams,https://source.unsplash.com/200x200/?Curry%20Leaves
Garam Masala,Spice,grams,https://source.unsplash.com/200x200/?Garam%20Masala
Chaat Masala,Spice,grams,https://source.unsplash.com/200x200/?Chaat%20Masala
Sambar Masala,Spice,grams,https://source.unsplash.com/200x200/?Sambar%20Masala
Pani Puri Masala,Spice,grams,https://source.unsplash.com/200x200/?Pani%20Puri%20Masala
Chole Masala,Spice,grams,https://source.unsplash.com/200x200/?Chole%20Masala
