name,category,default_unit,image_url
Beetroot,Vegetable,grams,https://source.unsplash.com/200x200/?Beetroot
Cabbage,Vegetable,grams,https://source.unsplash.com/200x200/?Cabbage
Carrot,Vegetable,grams,https://source.unsplash.com/200x200/?Carrot
Cauliflower,Vegetable,grams,https://source.unsplash.com/200x200/?Cauliflower
Coriander,Vegetable,grams,https://source.unsplash.com/200x200/?Coriander
Cucumber,Vegetable,grams,https://source.unsplash.com/200x200/?Cucumber
Dry Ginger,Vegetable,grams,https://source.unsplash.com/200x200/?Dry%20Ginger
Garlic,Vegetable,grams,https://source.unsplash.com/200x200/?Garlic
Ginger,Vegetable,grams,https://source.unsplash.com/200x200/?Ginger
Ginger Garlic Paste,Vegetable,grams,https://source.unsplash.com/200x200/?Ginger%20Garlic%20Paste
Green Bean,Vegetable,grams,https://source.unsplash.com/200x200/?Green%20Bean
Onion,Vegetable,grams,https://source.unsplash.com/200x200/?Onion
Pearl Onion,Vegetable,grams,https://source.unsplash.com/200x200/?Pearl%20Onion
Potato,Vegetable,grams,https://source.unsplash.com/200x200/?Potato
Spinach,Vegetable,grams,https://source.unsplash.com/200x200/?Spinach
Spring Onion,Vegetable,grams,https://source.unsplash.com/200x200/?Spring%20Onion
Tomato,Vegetable,grams,https://source.unsplash.com/200x200/?Tomato
Tomato Puree,Vegetable,grams,https://source.unsplash.com/200x200/?Tomato%20Puree
Coconut,Fruit,grams,https://source.unsplash.com/200x200/?Coconut
Lemon,Fruit,grams,https://source.unsplash.com/200x200/?Lemon
Lemon Juice,Fruit,grams,https://source.unsplash.com/200x200/?Lemon%20Juice
Mango,Fruit,grams,https://source.unsplash.com/200x200/?Mango
Raisin,Fruit,grams,https://source.unsplash.com/200x200/?Raisin
Tamarind,Fruit,grams,https://source.unsplash.com/200x200/?Tamarind
Chicken,Meat,grams,https://source.unsplash.com/200x200/?Chicken
Chicken Breast,Meat,grams,https://source.unsplash.com/200x200/?Chicken%20Breast
Butter,Dairy,ml,https://source.unsplash.com/200x200/?Butter
Cheese,Dairy,ml,https://source.unsplash.com/200x200/?Cheese
Coconut Milk,Dairy,ml,https://source.unsplash.com/200x200/?Coconut%20Milk
Cream,Dairy,ml,https://source.unsplash.com/200x200/?Cream
Curd,Dairy,ml,https://source.unsplash.com/200x200/?Curd
Egg,Dairy,pcs,https://source.unsplash.com/200x200/?Egg
Milk,Dairy,ml,https://source.unsplash.com/200x200/?Milk
Paneer,Dairy,ml,https://source.unsplash.com/200x200/?Paneer
Yogurt,Dairy,ml,https://source.unsplash.com/200x200/?Yogurt
All Purpose Flour,Grain,grams,https://source.unsplash.com/200x200/?All%20Purpose%20Flour
Arhar Dal,Grain,grams,https://source.unsplash.com/200x200/?Arhar%20Dal
Arhar Dal Toor Dal,Grain,grams,https://source.unsplash.com/200x200/?Arhar%20Dal%20Toor%20Dal
Basmati Rice,Grain,grams,https://source.unsplash.com/200x200/?Basmati%20Rice
Chana Dal,Grain,grams,https://source.unsplash.com/200x200/?Chana%20Dal
Chana Dal Bengal Dal,Grain,grams,https://source.unsplash.com/200x200/?Chana%20Dal%20Bengal%20Dal
Corn Flour,Grain,grams,https://source.unsplash.com/200x200/?Corn%20Flour
Flour,Grain,grams,https://source.unsplash.com/200x200/?Flour
Flour Besan,Grain,grams,https://source.unsplash.com/200x200/?Flour%20Besan
Idli Rice,Grain,grams,https://source.unsplash.com/200x200/?Idli%20Rice
Matta Rice,Grain,grams,https://source.unsplash.com/200x200/?Matta%20Rice
Moong Dal,Grain,grams,https://source.unsplash.com/200x200/?Moong%20Dal
Raw Rice,Grain,grams,https://source.unsplash.com/200x200/?Raw%20Rice
Rice,Grain,grams,https://source.unsplash.com/200x200/?Rice
Rice Flour,Grain,grams,https://source.unsplash.com/200x200/?Rice%20Flour
Toor Dal,Grain,grams,https://source.unsplash.com/200x200/?Toor%20Dal
Urad Dal,Grain,grams,https://source.unsplash.com/200x200/?Urad%20Dal
Wheat Bread Crumb,Grain,grams,https://source.unsplash.com/200x200/?Wheat%20Bread%20Crumb
Wheat Brown Bread,Grain,grams,https://source.unsplash.com/200x200/?Wheat%20Brown%20Bread
Wheat Flour,Grain,grams,https://source.unsplash.com/200x200/?Wheat%20Flour
Yellow Moong Dal,Grain,grams,https://source.unsplash.com/200x200/?Yellow%20Moong%20Dal
Asafoetida,Spice,grams,https://source.unsplash.com/200x200/?Asafoetida
Bay Leaf,Spice,grams,https://source.unsplash.com/200x200/?Bay%20Leaf
Black Pepper,Spice,grams,https://source.unsplash.com/200x200/?Black%20Pepper
Black Peppercorn,Spice,grams,https://source.unsplash.com/200x200/?Black%20Peppercorn
Cardamom,Spice,grams,https://source.unsplash.com/200x200/?Cardamom
Cardamom Elaichi,Spice,grams,https://source.unsplash.com/200x200/?Cardamom%20Elaichi
Chaat Masala,Spice,grams,https://source.unsplash.com/200x200/?Chaat%20Masala
Cinnamon,Spice,grams,https://source.unsplash.com/200x200/?Cinnamon
